month,closeLogDiff,diff(G1121846)_9,diff(G1000037)_12_abs,diff(G0008380)_1,logDiff(G0900698)_6_abs,logDiff(G1109167)_2_abs,logDiff(G1109077)_1
2004-03,-0.0223380219339539,-7.0,5727.0,0.7,0.2323319773686161,0.019936804120007423,0.013850330826400636
2004-04,0.0015021936109800016,50.0,5378.700000000001,-0.7999999999999999,0.2835752904991278,0.05673778055999357,0.009791369644409187
2004-05,0.010795860572701044,52.0,4097.549999999999,-0.7,0.34937564145712097,0.04437368563755584,0.00566715392863415
2004-06,0.00995681720842495,77.0,5494.75,0.9,0.3101549283038394,0.04298098597887723,0.005880592094547055
2004-07,-0.006291106147181008,90.0,5562.549999999999,0.09999999999999998,0.25319589638061135,0.01581357625192048,0.005597601197347757
2004-08,0.0031913989724990377,-44.0,5589.299999999999,-0.4,0.2595111954850844,0.04897760524586303,0.003734442616629252
2004-09,0.022197273993516703,29.0,6766.75,0.7,0.04725288485054535,0.04591203559047585,0.01053962640135353
2004-10,0.039308121920436256,8.0,7959.6,-0.5,0.07878087785311427,0.05693499607103725,0.005367545370638993
2004-11,0.03120706851169125,59.0,4356.75,0.20000000000000007,0.151549898127201,0.04190957164593456,0.005139274592615095
2004-12,-0.022966613039194672,55.0,1154.3999999999996,-1.1,0.16705408466316607,0.013862839454441556,0.011450740295542161
2005-01,-0.0070940103658926335,-22.0,1487.25,2.2,0.19912867511033583,0.0188206273566216,0.018994711197947822
2005-02,0.012217081341890534,114.0,2442.75,-1.1,0.2876820724517808,0.020386115422171613,0.0089815989368347
2005-03,-0.0183015080853432,-35.0,634.5,-0.4,0.14953173397096364,0.01953547083633289,0.011733776423092479
2005-04,-0.0199652990650504,13.0,1036.800000000001,0.09999999999999998,0.14107859825990543,0.021305420527779617,0.005646310209952432
2005-05,-0.042310610472245935,53.0,518.25,0.4,0.1586050301766384,0.013912831824844929,0.007599406647702978
2005-06,-0.009046737273840477,44.0,73.75,5.6,0.2323319773686161,0.019356025005446753,0.005882728131629378
2005-07,0.020667580511208872,-8.0,2614.6000000000004,-5.199999999999999,0.16598513747426114,0.01540323612195671,0.012510646764299693
2005-08,-0.004403984822185486,-53.0,1899.25,-0.7999999999999999,0.15415067982725827,0.009710071977844237,0.009683878579929583
2005-09,-0.017834140975128587,-56.0,627.25,0.0,0.18924199963852817,0.011575680156122203,0.005685004263664695
2005-10,-0.019502904007440452,69.0,1684.9500000000007,0.20000000000000007,0.12361395596717673,0.0009512224457441931,0.0049730079221212975
2005-11,0.005208054835242032,-42.0,872.75,-0.20000000000000007,0.07696104113612856,0.002476043788247395,0.0020556729067671142
2005-12,0.021766203111780236,-62.0,3203.800000000001,0.30000000000000004,0.059188871390330355,0.013607630647696212,0.011651082137984048
2006-01,-0.014720026372096101,-86.0,344.75,-0.20000000000000007,0.04820210181787754,0.013209757021234836,0.005514428035340302
2006-02,0.0073815530539302066,-59.0,1093.75,0.0,0.0,0.01742953501533151,0.007268599928655917
2006-03,0.020690451235684554,-25.0,205.85000000000036,-0.19999999999999996,0.011428695823623158,0.028169660818019082,0.0074308978028394534
2006-04,0.0388041423459449,36.0,1328.3500000000004,0.5,0.11000089521432876,0.02990331211240438,0.012646733720488967
2006-05,-0.00814871122917496,34.0,423.5,-0.09999999999999998,0.10536051565782634,0.019623687520974542,0.011643218500475783
2006-06,0.002126173764762318,-35.0,462.89999999999964,-0.7,0.022728251077556383,0.011786231858449625,0.005550088015072063
2006-07,0.00912025745756545,-34.0,654.8999999999996,-0.4,0.0,0.012897124894564627,0.0047807425675454596
2006-08,-0.006021745223122155,-59.0,1721.5,0.5,0.0,0.016962505818874263,0.007779371351684716
2006-09,-0.008586565488100384,-27.0,2681.6000000000004,0.39999999999999997,0.02298951822469908,0.024386762537304207,0.0009738351231334264
2006-10,0.02121044354339685,-42.0,2869.5,-0.7,0.16989903679539742,0.06114308382599809,0.020871947646208255
2006-11,0.02359371841201896,-84.0,2253.0,0.8,0.022472855852058604,0.04863628180900115,0.00701319954484525
2006-12,-0.016090284547448597,-48.0,3174.800000000001,1.3,0.06524052186840112,0.012347790487318377,0.011372915800819783
2007-01,0.0075180656261280565,-71.0,2212.25,-2.1,0.11641035184441106,0.017471539782178525,0.005868937059197776
2007-02,0.01231276471509729,-16.0,5002.75,0.6,0.04652001563489305,0.013065984203748826,0.006625773965179604
2007-03,0.019672228778717882,-57.0,2954.0,0.09999999999999998,0.13062018241706452,0.007217431866028079,-0.0057920927223147345
2007-04,-0.00031202945835739904,-108.0,5021.75,-0.7,0.07145896398214457,0.0031815663557335228,0.007426791196872173
2007-05,-0.0063996424590084255,-104.0,5452.0,0.8,0.06595796779179741,0.007893766206727548,0.005413986109715552
2007-06,0.022030194715647045,38.0,6916.800000000001,-0.30000000000000004,0.02083408690284161,0.008003393271087234,0.00786824944151654
2007-07,-0.007484644660317785,47.0,7692.25,0.30000000000000004,0.14310084364067333,0.006688466899058554,0.00875994381823908
2007-08,0.02175578727251104,9.0,8440.45,-1.1,0.17662353567931666,0.030162784061706915,0.011641767296120875
2007-09,0.02242802465128485,48.0,7011.15,0.8999999999999999,0.059423420470800625,0.048719127517282246,0.015739032500050598
2007-10,0.030854605247431777,0.0,11898.75,-0.7,0.2525907526405109,0.03038484966363697,0.009539452924510528
2007-11,-0.008882899081397277,-74.0,11412.349999999999,0.7,0.14805309995913962,0.0167352296481571,0.010089205018051217
2007-12,0.011811077371303547,7.0,6275.65,-1.0,0.030459207484708983,0.010080601885485763,0.005976348296435674
2008-01,0.0023905678058590007,81.0,4961.0,0.8,0.0,0.017352169051498834,0.0032595707212621505
2008-02,0.05080091921290325,46.0,3841.0,-0.6000000000000001,0.0281708769666964,0.02508544994881845,0.005317937095545844
2008-03,0.014911984912785003,-32.0,6047.4,0.6000000000000001,0.0492710490067827,0.002957789330903182,0.005612989432068005
2008-04,-0.012728154383030377,21.0,4785.75,-0.9,0.08376988306545874,0.0038436570209281484,0.0009776712271296617
2008-05,0.00034937121881484234,71.0,2043.0,0.9,0.046956983087770965,0.0129683803424534,0.0004984299882462295
2008-06,0.01258981371822282,26.0,408.4500000000007,-0.4,0.040821994520255256,0.00335522235591057,-0.0008636381241213797
2008-07,-0.05308324828269828,98.0,551.25,-0.7,0.14310084364067333,0.0027653671880223385,0.00015745117331356084
2008-08,-0.040412665790032,247.0,236.59999999999854,0.49999999999999994,0.13883644485421565,6.322387995894019e-05,-0.0007651494771891976
