month,closeLogDiff,diff(G1000037)_9_abs,diff(G0008003)_12_abs,diff(G0000029)_12,logDiff(G0001596)_12,P9918147_exp,diff(G1400003)_12_exp
2004-08,0.06584323999305594,4512.25,0.3999999999999999,0.3999999999999999,0.08135991620130234,16.444646771097048,0.9506304621536165
2004-09,0.07486892236244744,4791.25,0.5,0.8,0.05559885819666732,16.444646771097048,0.8712570877253137
2004-10,0.034370140283587536,4452.200000000001,0.5,0.7,0.08876351822265427,22.197951281441636,0.7355135359259584
2004-11,-0.024903280701899122,1430.25,0.5999999999999999,1.1,0.11694864239804481,16.444646771097048,0.5762159777053073
2004-12,-0.0984209596858363,2386.3500000000004,0.7,1.1,0.07084758305807348,20.085536923187668,0.5000860200388201
2005-01,-0.08450108392048211,2162.9500000000007,0.7,1.1999999999999997,0.1325353153298785,18.17414536944306,0.5364862825126128
2005-02,-0.05673949304338061,743.75,0.8999999999999999,1.2,0.19753895045586312,18.17414536944306,0.5801317767238214
2005-03,-0.07336055920745663,514.0,1.0,0.6999999999999997,0.1807726024186458,24.532530197109352,0.7987510137338913
2005-04,-0.07289319209724202,1098.6000000000004,0.7999999999999998,0.40000000000000013,0.11889320951744331,27.112638920657883,0.527493335613887
2005-05,-0.07243079703963207,405.0,0.7,0.5000000000000002,0.12088351966959543,24.532530197109352,0.3800269958733851
2005-06,-0.0249121317321441,1444.75,0.5999999999999999,0.10000000000000009,0.0327145868883818,24.532530197109352,0.30379289052866426
2005-07,0.0059008086534766135,322.8000000000011,0.5,0.30000000000000004,0.09380488732288761,20.085536923187668,0.36702761746222584
2005-08,-0.02948679822982836,2054.75,0.30000000000000004,0.40000000000000013,0.1259203242306146,22.197951281441636,0.44319341041459676
2005-09,-0.017701260353712667,3009.6000000000004,0.2999999999999998,0.0,0.08605172398048211,73.69979369959579,0.3828406768686356
2005-10,0.020823331857100474,1280.0,0.2999999999999998,0.10000000000000009,0.09147977328269796,99.48431564193378,0.5036583373582966
2005-11,0.07913037821048582,139.75,0.19999999999999996,-0.10000000000000009,0.10892469309153796,27.112638920657883,0.6976604699710756
2005-12,0.06577361214606883,1451.9500000000007,0.09999999999999987,0.0,0.12155649749960595,22.197951281441636,0.7677716352715168
2006-01,0.046133582799050915,781.3999999999996,0.19999999999999996,-0.19999999999999973,0.10094655105993766,20.085536923187668,0.7935092806125595
2006-02,0.06997386662871247,168.25,0.10000000000000009,-0.2999999999999998,0.020156277978006898,20.085536923187668,0.9130633629261017
2006-03,0.056570568351660105,646.1000000000004,0.0,-0.19999999999999973,0.036122034759879185,20.085536923187668,0.936140555137475
2006-04,0.027293551627875168,187.64999999999964,0.20000000000000018,0.09999999999999964,0.07782032181982501,27.112638920657883,1.5079303706912723
