datetime,open,high,low,close
1970-06-26,1.15801,1.16399,1.15425,1.16289
1970-06-27,1.16291,1.16592,1.16053,1.16226
1970-06-28,1.16226,1.16494,1.15506,1.1553499999999999
1970-06-29,1.15505,1.1616,1.15257,1.1593
1970-06-30,1.15923,1.1644,1.15653,1.16045
1970-07-01,1.16045,1.16496,1.157,1.16252
1970-07-02,1.16252,1.17011,1.1609099999999999,1.16897
1970-07-03,1.16896,1.17216,1.16206,1.16214
1970-07-04,1.16232,1.16982,1.1618,1.16829
1970-07-05,1.16829,1.17243,1.16519,1.1665
1970-07-06,1.16649,1.17149,1.165,1.1672
1970-07-07,1.16714,1.17845,1.16688,1.17765
1970-07-08,1.17764,1.18027,1.17329,1.17522
1970-07-09,1.1745700000000001,1.1815,1.17241,1.17472
1970-07-10,1.1747,1.17924,1.17309,1.17658
1970-07-11,1.17655,1.17977,1.17258,1.17379
1970-07-12,1.17378,1.17571,1.16387,1.16407
1970-07-13,1.16407,1.16512,1.15696,1.16029
1970-07-14,1.16168,1.16248,1.15635,1.15778
1970-07-15,1.15777,1.15802,1.15052,1.1546
1970-07-16,1.1546,1.15936,1.14641,1.1476600000000001
1970-07-17,1.1476600000000001,1.15426,1.14634,1.15134
1970-07-18,1.15134,1.15499,1.1484,1.15192
1970-07-19,1.15216,1.15297,1.14598,1.14907
1970-07-20,1.14907,1.15034,1.14322,1.14899
1970-07-21,1.14899,1.15453,1.14799,1.15182
1970-07-22,1.15186,1.15993,1.15174,1.1593
1970-07-23,1.1593,1.16104,1.15343,1.15578
1970-07-24,1.15411,1.16062,1.15404,1.15784
1970-07-25,1.15784,1.16219,1.1566,1.15733
1970-07-26,1.15731,1.15806,1.14959,1.14999
1970-07-27,1.14998,1.15272,1.14491,1.14523
1970-07-28,1.14522,1.15345,1.1433,1.15149
1970-07-29,1.15161,1.15501,1.14557,1.1463700000000001
1970-07-30,1.14635,1.14935,1.14392,1.14697
1970-07-31,1.14695,1.14764,1.13785,1.13911
1970-08-01,1.13911,1.14327,1.13562,1.13746
1970-08-02,1.13744,1.14211,1.13357,1.14015
1970-08-03,1.14006,1.14164,1.13605,1.1372200000000001
1970-08-04,1.1372200000000001,1.13877,1.13405,1.13434
1970-08-05,1.13434,1.13599,1.13021,1.13138
1970-08-06,1.13138,1.14242,1.13127,1.14016
1970-08-07,1.14017,1.14557,1.13721,1.13876
1970-08-08,1.13885,1.14239,1.1353,1.14067
1970-08-09,1.14066,1.14378,1.13914,1.1426
1970-08-10,1.14258,1.15002,1.13945,1.14255
1970-08-11,1.14255,1.14467,1.13512,1.13629
1970-08-12,1.13628,1.13689,1.13163,1.13349
1970-08-13,1.13241,1.13306,1.12154,1.12174
1970-08-14,1.12176,1.12935,1.12163,1.12898
1970-08-15,1.12898,1.13474,1.12631,1.1308
1970-08-16,1.13068,1.13623,1.12705,1.13255
1970-08-17,1.13249,1.142,1.13215,1.14167
1970-08-18,1.14136,1.14644,1.13939,1.14524
1970-08-19,1.1452499999999999,1.14723,1.13587,1.13695
1970-08-20,1.13695,1.14247,1.13633,1.13843
1970-08-21,1.13839,1.14339,1.1379299999999999,1.14005
1970-08-22,1.1400299999999999,1.14211,1.13276,1.1334
1970-08-23,1.13398,1.13837,1.1325,1.13273
1970-08-24,1.13274,1.13437,1.12775,1.12874
1970-08-25,1.12849,1.13876,1.12671,1.13659
1970-08-26,1.13659,1.14016,1.13487,1.13925
1970-08-27,1.13924,1.14004,1.1305399999999999,1.1314899999999999
1970-08-28,1.13489,1.13797,1.13193,1.13534
1970-08-29,1.13536,1.14187,1.13185,1.13423
1970-08-30,1.13422,1.13613,1.13105,1.13442
1970-08-31,1.1344,1.1412499999999999,1.1320999999999999,1.13746
1970-09-01,1.13731,1.14236,1.13604,1.14013
1970-09-02,1.13928,1.1442700000000001,1.13504,1.13552
1970-09-03,1.13558,1.14002,1.13063,1.13163
1970-09-04,1.1316,1.13871,1.13148,1.1368
1970-09-05,1.1368,1.13933,1.13312,1.13583
1970-09-06,1.13599,1.1365,1.12697,1.12999
1970-09-07,1.13053,1.13577,1.12987,1.13471
1970-09-08,1.13473,1.14022,1.13366,1.1360000000000001
1970-09-09,1.13599,1.1439300000000001,1.13592,1.1376
1970-09-10,1.13762,1.1486,1.13703,1.14452
1970-09-11,1.1445,1.14741,1.1356,1.13651
1970-09-12,1.1369799999999999,1.14385,1.13606,1.14166
1970-09-13,1.14144,1.14147,1.13427,1.1352
1970-09-14,1.13516,1.14541,1.13503,1.14292
1970-09-15,1.14294,1.14727,1.14248,1.14399
1970-09-16,1.1435,1.14661,1.14215,1.14453
1970-09-17,1.14458,1.14967,1.13251,1.13437
1970-09-18,1.13436,1.1411,1.1305,1.13929
1970-09-19,1.13923,1.1419,1.13457,1.13953
1970-09-20,1.13965,1.14825,1.13962,1.14739
1970-09-21,1.14739,1.14846,1.14218,1.14406
1970-09-22,1.14405,1.15578,1.1437,1.15415
1970-09-23,1.15416,1.15698,1.14844,1.14994
1970-09-24,1.14993,1.15402,1.1458,1.14645
1970-09-25,1.146,1.1482,1.14505,1.14678
1970-09-26,1.14678,1.14897,1.13819,1.14124
1970-09-27,1.14123,1.14249,1.13778,1.13912
1970-09-28,1.13909,1.1406,1.13699,1.13879
1970-09-29,1.13879,1.14101,1.13532,1.13638
1970-09-30,1.13617,1.13911,1.13567,1.13657
1970-10-01,1.1365,1.13738,1.1335899999999999,1.13594
1970-10-02,1.13594,1.13944,1.13503,1.13807
1970-10-03,1.13803,1.13914,1.12894,1.13031
1970-10-04,1.13036,1.14175,1.13,1.14041
1970-10-05,1.1402,1.1443699999999999,1.13901,1.14262
1970-10-06,1.14265,1.14502,1.14112,1.1432
1970-10-07,1.14316,1.15015,1.14062,1.14779
1970-10-08,1.1478,1.1514199999999999,1.14356,1.14461
1970-10-09,1.14459,1.14884,1.14343,1.14539
1970-10-10,1.14516,1.14604,1.14242,1.1435
1970-10-11,1.14348,1.14405,1.14011,1.14043
1970-10-12,1.14043,1.14095,1.13606,1.13607
1970-10-13,1.1360999999999999,1.13684,1.13245,1.13385
1970-10-14,1.13382,1.13508,1.1320999999999999,1.1323400000000001
1970-10-15,1.13194,1.133,1.12672,1.12748
1970-10-16,1.12746,1.13396,1.12576,1.13246
1970-10-17,1.13244,1.13414,1.12594,1.12595
1970-10-18,1.12594,1.13097,1.12491,1.12939
1970-10-19,1.1294,1.13061,1.1234,1.12925
1970-10-20,1.12916,1.13338,1.12887,1.13081
1970-10-21,1.1308,1.13574,1.12755,1.13394
1970-10-22,1.13392,1.13711,1.13249,1.13351
1970-10-23,1.13357,1.13664,1.13194,1.1333
1970-10-24,1.13329,1.13556,1.13161,1.13319
1970-10-25,1.13278,1.13676,1.13276,1.1356
1970-10-26,1.13562,1.14028,1.13452,1.1388
1970-10-27,1.13878,1.14035,1.13623,1.13685
1970-10-28,1.13684,1.14196,1.13592,1.13696
1970-10-29,1.13697,1.14085,1.13533,1.1362700000000001
1970-10-30,1.13766,1.1381000000000001,1.1309,1.13386
1970-10-31,1.13387,1.134,1.1289500000000001,1.13069
1970-11-01,1.13065,1.13246,1.12854,1.13053
1970-11-02,1.1305,1.13202,1.1176,1.11923
1970-11-03,1.11922,1.12461,1.11852,1.1233
1970-11-04,1.12335,1.12584,1.12218,1.12489
1970-11-05,1.12489,1.13049,1.12473,1.12876
1970-11-06,1.12876,1.13385,1.1277300000000001,1.13304
1970-11-07,1.13304,1.13377,1.12941,1.1304400000000001
1970-11-08,1.1304400000000001,1.13443,1.12998,1.13236
1970-11-09,1.13246,1.1359,1.13189,1.13352
1970-11-10,1.13352,1.13616,1.13337,1.13494
1970-11-11,1.13495,1.14481,1.13355,1.14241
1970-11-12,1.14241,1.14375,1.13425,1.13733
1970-11-13,1.13733,1.13907,1.1273,1.12999
1970-11-14,1.12972,1.13314,1.12887,1.1313
1970-11-15,1.13131,1.13258,1.12628,1.12703
1970-11-16,1.12703,1.12856,1.12421,1.12515
1970-11-17,1.12515,1.12611,1.12136,1.12259
1970-11-18,1.12265,1.12467,1.12096,1.12175
1970-11-19,1.12264,1.12499,1.12038,1.12117
1970-11-20,1.12114,1.12158,1.11837,1.12033
1970-11-21,1.12032,1.12546,1.11992,1.12312
1970-11-22,1.12312,1.12476,1.12059,1.12191
1970-11-23,1.12191,1.1249,1.12101,1.12161
1970-11-24,1.12148,1.12744,1.12118,1.12609
1970-11-25,1.12608,1.1284399999999999,1.12552,1.12609
1970-11-26,1.12605,1.12878,1.12295,1.12724
1970-11-27,1.12725,1.12874,1.12499,1.12507
1970-11-28,1.12504,1.13238,1.12504,1.12978
1970-11-29,1.13025,1.13209,1.12976,1.13023
1970-11-30,1.13026,1.1313900000000001,1.12791,1.12799
1970-12-01,1.12796,1.1323699999999999,1.12787,1.12946
1970-12-02,1.12941,1.1304,1.12262,1.12305
1970-12-03,1.12306,1.12476,1.12275,1.12402
1970-12-04,1.12425,1.1262,1.12358,1.1256
1970-12-05,1.12561,1.12612,1.11923,1.12262
1970-12-06,1.12263,1.12263,1.11406,1.11524
1970-12-07,1.11522,1.11625,1.11175,1.11313
1970-12-08,1.11314,1.1174,1.11103,1.11473
1970-12-09,1.11455,1.11868,1.1145,1.11852
1970-12-10,1.1185100000000001,1.12292,1.11757,1.1214
1970-12-11,1.12141,1.12648,1.11872,1.11941
1970-12-12,1.11942,1.1219,1.11704,1.11709
1970-12-13,1.1171,1.12047,1.11349,1.12013
1970-12-14,1.11767,1.12092,1.1171,1.11978
1970-12-15,1.11979,1.12179,1.11665,1.11906
1970-12-16,1.119,1.12137,1.11828,1.11904
1970-12-17,1.11903,1.12509,1.11734,1.12128
1970-12-18,1.12138,1.12535,1.1213,1.12341
1970-12-19,1.12336,1.12633,1.12208,1.12208
1970-12-20,1.12205,1.12439,1.12012,1.12028
1970-12-21,1.12029,1.12248,1.11779,1.12
1970-12-22,1.12001,1.12239,1.11662,1.11734
1970-12-23,1.11731,1.11843,1.11551,1.11577
1970-12-24,1.11599,1.11748,1.11505,1.1165
1970-12-25,1.11651,1.1188,1.1142,1.11598
1970-12-26,1.11594,1.11804,1.11486,1.11494
1970-12-27,1.11493,1.11874,1.1107,1.11807
1970-12-28,1.11805,1.12121,1.1173899999999999,1.1205
1970-12-29,1.1209500000000001,1.12151,1.11868,1.11908
1970-12-30,1.11907,1.12021,1.11586,1.11591
1970-12-31,1.11592,1.11724,1.11242,1.11302
1971-01-01,1.11297,1.11433,1.1116,1.11283
1971-01-02,1.11281,1.11797,1.11252,1.11679
1971-01-03,1.11651,1.1262,1.11602,1.12406
1971-01-04,1.12407,1.1277300000000001,1.12264,1.12507
1971-01-05,1.12507,1.13066,1.12191,1.1219999999999999
1971-01-06,1.12202,1.1308799999999999,1.12004,1.12747
1971-01-07,1.1274899999999999,1.13477,1.12512,1.13307
1971-01-08,1.13243,1.13306,1.12899,1.1311
1971-01-09,1.13108,1.13374,1.13012,1.13253
